job 583352 on tr-slurm2
shard 2/8: 2021-10-28 .. 2022-06-03 (219 days of 1745)
=== U-Net pipeline: fetch ===
  data dir : /mnt/wato-drive/c52li/weatherloo-data/unet
  GFS      : https://noaa-gfs-bdp-pds.s3.amazonaws.com (anonymous, byte-range GRIB)
  ERA5     : gs://gcp-public-data-arco-era5/ar/full_37-1h-0p25deg-chunk-1.zarr-v3 (anonymous)

opening ERA5 store (reads metadata only) ...
  ERA5 final-data boundary: 2026-04-30T23:00:00+00:00 (--end clamps to this; time axis is padded past it)

range 2021-10-28 .. 2022-06-03: 7008 samples
  already cached: 1232   to fetch: 5776   workers: 6
  expected footprint: ~1.5-2 MB/sample GRIB + ~21 KB/sample .npz (~11.7 GB total, GRIB pruned after caching)
  1950/5776  (1.60 samples/s, ETA 39m 50s, 0 errors)
  1975/5776  (1.60 samples/s, ETA 39m 29s, 0 errors)
  2000/5776  (1.60 samples/s, ETA 39m 14s, 0 errors)
  2025/5776  (1.61 samples/s, ETA 38m 51s, 0 errors)
  2050/5776  (1.61 samples/s, ETA 38m 30s, 0 errors)
  2075/5776  (1.62 samples/s, ETA 38m 08s, 0 errors)
  2100/5776  (1.62 samples/s, ETA 37m 51s, 0 errors)
  2125/5776  (1.62 samples/s, ETA 37m 37s, 0 errors)
  2150/5776  (1.62 samples/s, ETA 37m 18s, 0 errors)
  2175/5776  (1.62 samples/s, ETA 36m 58s, 0 errors)
  2200/5776  (1.62 samples/s, ETA 36m 50s, 0 errors)
  2225/5776  (1.62 samples/s, ETA 36m 36s, 0 errors)
  2250/5776  (1.62 samples/s, ETA 36m 17s, 0 errors)
  2275/5776  (1.61 samples/s, ETA 36m 10s, 0 errors)
  2300/5776  (1.61 samples/s, ETA 36m 03s, 0 errors)
  2325/5776  (1.60 samples/s, ETA 35m 56s, 0 errors)
  2350/5776  (1.60 samples/s, ETA 35m 42s, 0 errors)
  2375/5776  (1.59 samples/s, ETA 35m 33s, 0 errors)
  2400/5776  (1.60 samples/s, ETA 35m 12s, 0 errors)
  2425/5776  (1.60 samples/s, ETA 34m 59s, 0 errors)
  2450/5776  (1.60 samples/s, ETA 34m 38s, 0 errors)
  2475/5776  (1.60 samples/s, ETA 34m 20s, 0 errors)
  2500/5776  (1.61 samples/s, ETA 34m 00s, 0 errors)
  2525/5776  (1.60 samples/s, ETA 33m 45s, 0 errors)
  2550/5776  (1.60 samples/s, ETA 33m 36s, 0 errors)
  2575/5776  (1.60 samples/s, ETA 33m 18s, 0 errors)
  2600/5776  (1.61 samples/s, ETA 32m 57s, 0 errors)
  2625/5776  (1.61 samples/s, ETA 32m 38s, 0 errors)
  2650/5776  (1.61 samples/s, ETA 32m 18s, 0 errors)
  2675/5776  (1.61 samples/s, ETA 32m 05s, 0 errors)
  2700/5776  (1.61 samples/s, ETA 31m 52s, 0 errors)
  2725/5776  (1.61 samples/s, ETA 31m 34s, 0 errors)
  2750/5776  (1.61 samples/s, ETA 31m 16s, 0 errors)
  2775/5776  (1.61 samples/s, ETA 31m 01s, 0 errors)
  2800/5776  (1.61 samples/s, ETA 30m 47s, 0 errors)
  2825/5776  (1.61 samples/s, ETA 30m 28s, 0 errors)
  2850/5776  (1.61 samples/s, ETA 30m 15s, 0 errors)
  2875/5776  (1.61 samples/s, ETA 30m 01s, 0 errors)
  2900/5776  (1.61 samples/s, ETA 29m 45s, 0 errors)
  2925/5776  (1.61 samples/s, ETA 29m 36s, 0 errors)
  2950/5776  (1.60 samples/s, ETA 29m 22s, 0 errors)
  2975/5776  (1.60 samples/s, ETA 29m 12s, 0 errors)
  3000/5776  (1.60 samples/s, ETA 28m 52s, 0 errors)
  3025/5776  (1.60 samples/s, ETA 28m 38s, 0 errors)
  3050/5776  (1.60 samples/s, ETA 28m 19s, 0 errors)
  3075/5776  (1.61 samples/s, ETA 28m 00s, 0 errors)
  3100/5776  (1.61 samples/s, ETA 27m 42s, 0 errors)
  3125/5776  (1.61 samples/s, ETA 27m 25s, 0 errors)
  3150/5776  (1.61 samples/s, ETA 27m 06s, 0 errors)
  3175/5776  (1.61 samples/s, ETA 26m 55s, 0 errors)
  3200/5776  (1.61 samples/s, ETA 26m 44s, 0 errors)
  3225/5776  (1.61 samples/s, ETA 26m 27s, 0 errors)
  3250/5776  (1.61 samples/s, ETA 26m 13s, 0 errors)
  3275/5776  (1.60 samples/s, ETA 26m 02s, 0 errors)
  3300/5776  (1.60 samples/s, ETA 25m 44s, 0 errors)
  3325/5776  (1.60 samples/s, ETA 25m 35s, 0 errors)
  3350/5776  (1.60 samples/s, ETA 25m 18s, 0 errors)
  3375/5776  (1.59 samples/s, ETA 25m 10s, 0 errors)
  3400/5776  (1.59 samples/s, ETA 24m 52s, 0 errors)
  3425/5776  (1.59 samples/s, ETA 24m 41s, 0 errors)
  3450/5776  (1.59 samples/s, ETA 24m 24s, 0 errors)
  3475/5776  (1.59 samples/s, ETA 24m 06s, 0 errors)
  3500/5776  (1.59 samples/s, ETA 23m 48s, 0 errors)
  3525/5776  (1.60 samples/s, ETA 23m 31s, 0 errors)
  3550/5776  (1.60 samples/s, ETA 23m 12s, 0 errors)
  3575/5776  (1.60 samples/s, ETA 22m 55s, 0 errors)
  3600/5776  (1.60 samples/s, ETA 22m 41s, 0 errors)
  3625/5776  (1.60 samples/s, ETA 22m 23s, 0 errors)
  3650/5776  (1.61 samples/s, ETA 22m 03s, 0 errors)
  3675/5776  (1.61 samples/s, ETA 21m 44s, 0 errors)
  3700/5776  (1.62 samples/s, ETA 21m 25s, 0 errors)
  3725/5776  (1.62 samples/s, ETA 21m 05s, 0 errors)
  3750/5776  (1.62 samples/s, ETA 20m 46s, 0 errors)
  3775/5776  (1.63 samples/s, ETA 20m 27s, 0 errors)
  3800/5776  (1.63 samples/s, ETA 20m 08s, 0 errors)
  3825/5776  (1.64 samples/s, ETA 19m 50s, 0 errors)
  3850/5776  (1.64 samples/s, ETA 19m 32s, 0 errors)
  3875/5776  (1.65 samples/s, ETA 19m 13s, 0 errors)
  3900/5776  (1.65 samples/s, ETA 18m 55s, 0 errors)
  3925/5776  (1.66 samples/s, ETA 18m 37s, 0 errors)
  3950/5776  (1.66 samples/s, ETA 18m 19s, 0 errors)
  3975/5776  (1.66 samples/s, ETA 18m 02s, 0 errors)
  4000/5776  (1.67 samples/s, ETA 17m 44s, 0 errors)
  4025/5776  (1.67 samples/s, ETA 17m 26s, 0 errors)
  4050/5776  (1.68 samples/s, ETA 17m 08s, 0 errors)
  4075/5776  (1.68 samples/s, ETA 16m 51s, 0 errors)
  4100/5776  (1.69 samples/s, ETA 16m 33s, 0 errors)
  4125/5776  (1.69 samples/s, ETA 16m 16s, 0 errors)
  4150/5776  (1.69 samples/s, ETA 15m 59s, 0 errors)
  4175/5776  (1.70 samples/s, ETA 15m 44s, 0 errors)
  4200/5776  (1.70 samples/s, ETA 15m 28s, 0 errors)
  4225/5776  (1.70 samples/s, ETA 15m 11s, 0 errors)
  4250/5776  (1.71 samples/s, ETA 14m 54s, 0 errors)
  4275/5776  (1.71 samples/s, ETA 14m 38s, 0 errors)
  4300/5776  (1.71 samples/s, ETA 14m 22s, 0 errors)
  4325/5776  (1.72 samples/s, ETA 14m 05s, 0 errors)
  4350/5776  (1.72 samples/s, ETA 13m 48s, 0 errors)
  4375/5776  (1.72 samples/s, ETA 13m 32s, 0 errors)
  4400/5776  (1.73 samples/s, ETA 13m 16s, 0 errors)
  4425/5776  (1.73 samples/s, ETA 13m 00s, 0 errors)
  4450/5776  (1.73 samples/s, ETA 12m 44s, 0 errors)
  4475/5776  (1.74 samples/s, ETA 12m 28s, 0 errors)
  4500/5776  (1.74 samples/s, ETA 12m 12s, 0 errors)
  4525/5776  (1.75 samples/s, ETA 11m 56s, 0 errors)
  4550/5776  (1.75 samples/s, ETA 11m 40s, 0 errors)
  4575/5776  (1.75 samples/s, ETA 11m 24s, 0 errors)
  4600/5776  (1.76 samples/s, ETA 11m 09s, 0 errors)
  4625/5776  (1.76 samples/s, ETA 10m 53s, 0 errors)
  4650/5776  (1.76 samples/s, ETA 10m 37s, 0 errors)
  4675/5776  (1.77 samples/s, ETA 10m 22s, 0 errors)
  4700/5776  (1.77 samples/s, ETA 10m 07s, 0 errors)
  4725/5776  (1.78 samples/s, ETA 9m 52s, 0 errors)
  4750/5776  (1.78 samples/s, ETA 9m 37s, 0 errors)
  4775/5776  (1.78 samples/s, ETA 9m 22s, 0 errors)
  4800/5776  (1.78 samples/s, ETA 9m 07s, 0 errors)
  4825/5776  (1.79 samples/s, ETA 8m 52s, 0 errors)
  4850/5776  (1.79 samples/s, ETA 8m 37s, 0 errors)
  4875/5776  (1.79 samples/s, ETA 8m 22s, 0 errors)
  4900/5776  (1.80 samples/s, ETA 8m 07s, 0 errors)
  4925/5776  (1.80 samples/s, ETA 7m 52s, 0 errors)
  4950/5776  (1.80 samples/s, ETA 7m 37s, 0 errors)
  4975/5776  (1.81 samples/s, ETA 7m 23s, 0 errors)
  5000/5776  (1.81 samples/s, ETA 7m 08s, 0 errors)
  5025/5776  (1.81 samples/s, ETA 6m 53s, 0 errors)
  5050/5776  (1.82 samples/s, ETA 6m 39s, 0 errors)
  5075/5776  (1.82 samples/s, ETA 6m 24s, 0 errors)
  5100/5776  (1.82 samples/s, ETA 6m 10s, 0 errors)
  5125/5776  (1.83 samples/s, ETA 5m 56s, 0 errors)
  5150/5776  (1.83 samples/s, ETA 5m 41s, 0 errors)
  5175/5776  (1.83 samples/s, ETA 5m 28s, 0 errors)
  5200/5776  (1.83 samples/s, ETA 5m 13s, 0 errors)
  5225/5776  (1.84 samples/s, ETA 4m 59s, 0 errors)
  5250/5776  (1.84 samples/s, ETA 4m 45s, 0 errors)
  5275/5776  (1.84 samples/s, ETA 4m 31s, 0 errors)
  5300/5776  (1.85 samples/s, ETA 4m 17s, 0 errors)
  5325/5776  (1.85 samples/s, ETA 4m 03s, 0 errors)
  5350/5776  (1.85 samples/s, ETA 3m 49s, 0 errors)
  5375/5776  (1.86 samples/s, ETA 3m 35s, 0 errors)
  5400/5776  (1.86 samples/s, ETA 3m 22s, 0 errors)
  5425/5776  (1.86 samples/s, ETA 3m 08s, 0 errors)
  5450/5776  (1.87 samples/s, ETA 2m 54s, 0 errors)
  5475/5776  (1.87 samples/s, ETA 2m 41s, 0 errors)
  5500/5776  (1.87 samples/s, ETA 2m 27s, 0 errors)
  5525/5776  (1.87 samples/s, ETA 2m 14s, 0 errors)
  5550/5776  (1.87 samples/s, ETA 2m 00s, 0 errors)
  5575/5776  (1.88 samples/s, ETA 1m 47s, 0 errors)
  5600/5776  (1.88 samples/s, ETA 1m 33s, 0 errors)
  5625/5776  (1.88 samples/s, ETA 1m 20s, 0 errors)
  5650/5776  (1.89 samples/s, ETA 1m 06s, 0 errors)
  5675/5776  (1.89 samples/s, ETA 0m 53s, 0 errors)
  5700/5776  (1.89 samples/s, ETA 0m 40s, 0 errors)
  5725/5776  (1.90 samples/s, ETA 0m 26s, 0 errors)
  5750/5776  (1.90 samples/s, ETA 0m 13s, 0 errors)
  5775/5776  (1.90 samples/s, ETA 0m 00s, 0 errors)
  5776/5776  (1.90 samples/s, ETA 0m 00s, 0 errors)

=== fetch summary ===
  samples in range     : 7008
  cached and ready     : 7008  (1232 pre-existing, 5776 new)
  failures             : 0
  cache size on disk   : 1.1 GB  (/mnt/wato-drive/c52li/weatherloo-data/unet)
  elapsed              : 50m 37s

OK — cache is complete for 2021-10-28 .. 2022-06-03.
next: python run_pipeline.py train --data-dir /mnt/wato-drive/c52li/weatherloo-data/unet --output-dir <checkpoints>
