job 583351 on tr-slurm2
shard 1/8: 2021-03-23 .. 2021-10-27 (219 days of 1745)
=== U-Net pipeline: fetch ===
  data dir : /mnt/wato-drive/c52li/weatherloo-data/unet
  GFS      : https://noaa-gfs-bdp-pds.s3.amazonaws.com (anonymous, byte-range GRIB)
  ERA5     : gs://gcp-public-data-arco-era5/ar/full_37-1h-0p25deg-chunk-1.zarr-v3 (anonymous)

opening ERA5 store (reads metadata only) ...
  ERA5 final-data boundary: 2026-04-30T23:00:00+00:00 (--end clamps to this; time axis is padded past it)

range 2021-03-23 .. 2021-10-27: 7008 samples
  already cached: 0   to fetch: 7008   workers: 6
  expected footprint: ~1.5-2 MB/sample GRIB + ~21 KB/sample .npz (~11.7 GB total, GRIB pruned after caching)
  4350/7008  (1.75 samples/s, ETA 25m 21s, 0 errors)
  4375/7008  (1.75 samples/s, ETA 25m 03s, 0 errors)
  4400/7008  (1.76 samples/s, ETA 24m 44s, 0 errors)
  4425/7008  (1.76 samples/s, ETA 24m 27s, 0 errors)
  4450/7008  (1.76 samples/s, ETA 24m 09s, 0 errors)
  4475/7008  (1.77 samples/s, ETA 23m 52s, 0 errors)
  4500/7008  (1.77 samples/s, ETA 23m 34s, 0 errors)
  4525/7008  (1.78 samples/s, ETA 23m 17s, 0 errors)
  4550/7008  (1.78 samples/s, ETA 22m 59s, 0 errors)
  4575/7008  (1.79 samples/s, ETA 22m 42s, 0 errors)
  4600/7008  (1.79 samples/s, ETA 22m 25s, 0 errors)
  4625/7008  (1.79 samples/s, ETA 22m 08s, 0 errors)
  4650/7008  (1.80 samples/s, ETA 21m 51s, 0 errors)
  4675/7008  (1.80 samples/s, ETA 21m 34s, 0 errors)
  4700/7008  (1.81 samples/s, ETA 21m 18s, 0 errors)
  4725/7008  (1.81 samples/s, ETA 21m 01s, 0 errors)
  4750/7008  (1.81 samples/s, ETA 20m 45s, 0 errors)
  4775/7008  (1.82 samples/s, ETA 20m 28s, 0 errors)
  4800/7008  (1.82 samples/s, ETA 20m 12s, 0 errors)
  4825/7008  (1.83 samples/s, ETA 19m 55s, 0 errors)
  4850/7008  (1.83 samples/s, ETA 19m 39s, 0 errors)
  4875/7008  (1.83 samples/s, ETA 19m 23s, 0 errors)
  4900/7008  (1.84 samples/s, ETA 19m 07s, 0 errors)
  4925/7008  (1.84 samples/s, ETA 18m 53s, 0 errors)
  4950/7008  (1.84 samples/s, ETA 18m 37s, 0 errors)
  4975/7008  (1.85 samples/s, ETA 18m 21s, 0 errors)
  5000/7008  (1.85 samples/s, ETA 18m 05s, 0 errors)
  5025/7008  (1.85 samples/s, ETA 17m 50s, 0 errors)
  5050/7008  (1.86 samples/s, ETA 17m 34s, 0 errors)
  5075/7008  (1.86 samples/s, ETA 17m 18s, 0 errors)
  5100/7008  (1.86 samples/s, ETA 17m 03s, 0 errors)
  5125/7008  (1.87 samples/s, ETA 16m 48s, 0 errors)
  5150/7008  (1.87 samples/s, ETA 16m 32s, 0 errors)
  5175/7008  (1.87 samples/s, ETA 16m 17s, 0 errors)
  5200/7008  (1.88 samples/s, ETA 16m 02s, 0 errors)
  5225/7008  (1.88 samples/s, ETA 15m 47s, 0 errors)
  5250/7008  (1.89 samples/s, ETA 15m 32s, 0 errors)
  5275/7008  (1.89 samples/s, ETA 15m 17s, 0 errors)
  5300/7008  (1.89 samples/s, ETA 15m 02s, 0 errors)
  5325/7008  (1.90 samples/s, ETA 14m 47s, 0 errors)
  5350/7008  (1.90 samples/s, ETA 14m 34s, 0 errors)
  5375/7008  (1.90 samples/s, ETA 14m 19s, 0 errors)
  5400/7008  (1.90 samples/s, ETA 14m 05s, 0 errors)
  5425/7008  (1.91 samples/s, ETA 13m 50s, 0 errors)
  5450/7008  (1.91 samples/s, ETA 13m 36s, 0 errors)
  5475/7008  (1.91 samples/s, ETA 13m 21s, 0 errors)
  5500/7008  (1.92 samples/s, ETA 13m 06s, 0 errors)
  5525/7008  (1.92 samples/s, ETA 12m 52s, 0 errors)
  5550/7008  (1.92 samples/s, ETA 12m 38s, 0 errors)
  5575/7008  (1.93 samples/s, ETA 12m 23s, 0 errors)
  5600/7008  (1.93 samples/s, ETA 12m 09s, 0 errors)
  5625/7008  (1.93 samples/s, ETA 11m 55s, 0 errors)
  5650/7008  (1.94 samples/s, ETA 11m 41s, 0 errors)
  5675/7008  (1.94 samples/s, ETA 11m 27s, 0 errors)
  5700/7008  (1.94 samples/s, ETA 11m 14s, 0 errors)
  5725/7008  (1.94 samples/s, ETA 11m 00s, 0 errors)
  5750/7008  (1.95 samples/s, ETA 10m 46s, 0 errors)
  5775/7008  (1.95 samples/s, ETA 10m 32s, 0 errors)
  5800/7008  (1.95 samples/s, ETA 10m 18s, 0 errors)
  5825/7008  (1.95 samples/s, ETA 10m 05s, 0 errors)
  5850/7008  (1.96 samples/s, ETA 9m 51s, 0 errors)
  5875/7008  (1.96 samples/s, ETA 9m 37s, 0 errors)
  5900/7008  (1.96 samples/s, ETA 9m 24s, 0 errors)
  5925/7008  (1.97 samples/s, ETA 9m 10s, 0 errors)
  5950/7008  (1.97 samples/s, ETA 8m 57s, 0 errors)
  5975/7008  (1.97 samples/s, ETA 8m 43s, 0 errors)
  6000/7008  (1.98 samples/s, ETA 8m 30s, 0 errors)
  6025/7008  (1.98 samples/s, ETA 8m 16s, 0 errors)
  6050/7008  (1.98 samples/s, ETA 8m 02s, 0 errors)
  6075/7008  (1.99 samples/s, ETA 7m 49s, 0 errors)
  6100/7008  (1.99 samples/s, ETA 7m 35s, 0 errors)
  6125/7008  (2.00 samples/s, ETA 7m 22s, 0 errors)
  6150/7008  (2.00 samples/s, ETA 7m 09s, 0 errors)
  6175/7008  (2.00 samples/s, ETA 6m 55s, 0 errors)
  6200/7008  (2.01 samples/s, ETA 6m 42s, 0 errors)
  6225/7008  (2.01 samples/s, ETA 6m 29s, 0 errors)
  6250/7008  (2.01 samples/s, ETA 6m 16s, 0 errors)
  6275/7008  (2.02 samples/s, ETA 6m 03s, 0 errors)
  6300/7008  (2.02 samples/s, ETA 5m 50s, 0 errors)
  6325/7008  (2.03 samples/s, ETA 5m 37s, 0 errors)
  6350/7008  (2.03 samples/s, ETA 5m 24s, 0 errors)
  6375/7008  (2.03 samples/s, ETA 5m 11s, 0 errors)
  6400/7008  (2.04 samples/s, ETA 4m 58s, 0 errors)
  6425/7008  (2.04 samples/s, ETA 4m 45s, 0 errors)
  6450/7008  (2.04 samples/s, ETA 4m 33s, 0 errors)
  6475/7008  (2.05 samples/s, ETA 4m 20s, 0 errors)
  6500/7008  (2.05 samples/s, ETA 4m 07s, 0 errors)
  6525/7008  (2.05 samples/s, ETA 3m 55s, 0 errors)
  6550/7008  (2.06 samples/s, ETA 3m 42s, 0 errors)
  6575/7008  (2.06 samples/s, ETA 3m 30s, 0 errors)
  6600/7008  (2.06 samples/s, ETA 3m 18s, 0 errors)
  6625/7008  (2.06 samples/s, ETA 3m 05s, 0 errors)
  6650/7008  (2.07 samples/s, ETA 2m 53s, 0 errors)
  6675/7008  (2.07 samples/s, ETA 2m 40s, 0 errors)
  6700/7008  (2.07 samples/s, ETA 2m 28s, 0 errors)
  6725/7008  (2.08 samples/s, ETA 2m 16s, 0 errors)
  6750/7008  (2.08 samples/s, ETA 2m 03s, 0 errors)
  6775/7008  (2.08 samples/s, ETA 1m 51s, 0 errors)
  6800/7008  (2.09 samples/s, ETA 1m 39s, 0 errors)
  6825/7008  (2.09 samples/s, ETA 1m 27s, 0 errors)
  6850/7008  (2.09 samples/s, ETA 1m 15s, 0 errors)
  6875/7008  (2.10 samples/s, ETA 1m 03s, 0 errors)
  6900/7008  (2.10 samples/s, ETA 0m 51s, 0 errors)
  6925/7008  (2.10 samples/s, ETA 0m 39s, 0 errors)
  6950/7008  (2.11 samples/s, ETA 0m 27s, 0 errors)
  6975/7008  (2.11 samples/s, ETA 0m 15s, 0 errors)
  7000/7008  (2.11 samples/s, ETA 0m 03s, 0 errors)
  7008/7008  (2.12 samples/s, ETA 0m 00s, 0 errors)

=== fetch summary ===
  samples in range     : 7008
  cached and ready     : 7008  (0 pre-existing, 7008 new)
  failures             : 0
  cache size on disk   : 1.1 GB  (/mnt/wato-drive/c52li/weatherloo-data/unet)
  elapsed              : 55m 13s

OK — cache is complete for 2021-03-23 .. 2021-10-27.
next: python run_pipeline.py train --data-dir /mnt/wato-drive/c52li/weatherloo-data/unet --output-dir <checkpoints>
